"Account Settings","Asiakastilin tiedot"
"Add to original price","Lisätään alkup. hintaan"
"Address","Katuosoite"
"Bank IBAN","Pankkiyhteys IBAN"
"By accepting the license agreement and filling in your Matkahuolto and Shop information, you can begin to use Avenla Matkahuolto module.","Voit alkaa käyttämään Matkahuolto-moduulia heti hyväksyttyäsi Avenlan käyttöehdot sekä täytettyäsi Matkahuollon ja kaupan lähettäjän tiedot."
"Calculate Handling Fee","Käsittelymaksujen tyyppi"
"City","Kaupunki"
"COD Payment","Postiennakkomaksu"
"Could not create a folder.","Osoitekorteille ei voitu luoda kansiota."
"Could not get a shipping label: %s","Osoitekorttia ei voitu hakea: %s"
"Could not write to file.","Osoitekorttia ei voitu kirjoittaa."
"Debug Log","Virheiden tallennus"
"Delete Shippinglabel","Poista osoitekortti"
"Deletion of Shippinglabel failed","Osoitekortin poistamisessa tapahtui virhe"
"Departure Code","Lähtöpaikan tunnus"
"Departure Name","Lähtöpaikan Nimi"
"Disable if order subtotal is above","Piilota toimitustapa, jos tilauksen summa ylittää"
"Disable if order subtotal is below","Piilota toimitustapa, jos tilauksen summa alittaa"
"Disabled","Ei käytössä"
"Displayed Error Message","Näytettävä virheviesti, kun toimitustapa ei sovellu tilaukseen"
"Enabled","Käytössä"
"Error while getting tracking code for shipment: %s","Virhe noudettaessa seurantakoodia lähetykselle: %s"
"Error while retrieving PDF file.","Virhe noudettaessa PDF-tiedostoa."
"Error while retrieving tracking code: %s","Virhe noudettaessa seurantakoodia: %s"
"Error while saving track to shipment: %s","Virhe tallennettaessa seurantakoodia lähetykselle: %s"
"Error while saving tracking info for shipment: %s","Virhe tallennettaessa seurantatietoja lähetykselle: %s"
"File (%s) could not be written.","Tiedostoa (%s) ei voitu kirjoittaa."
"Fixed","Kiinteä"
"Folder (%s) could not be created.","Kansiota (%s) ei voitu luoda."
"Free shipping with minimum order amount","Ilmainen toimitus, kun tilauksen summa ylittää hintarajan"
"Handling Applied","Käsittelykulujen laskutapa"
"Handling Fee","Käsittelykulujen summa"
"Handling fee","Käsittelymaksun määrä"
"I accept the terms in the license agreement","Hyväksyn moduulin käyttöehdot"
"If enabled, creates own error log file for matkahuolto module.","Voit päättää tallennetaanko Matkahuolto-moduulin virheet tiedostoon."
"Instructions","Lisätiedot asiakkaalle"
"License Agreement","Käyttöehdot"
"Maximum Order Total","Tilauksen enimmäissumma"
"Maximum Order Weight","Suurin tilauksen paino"
"Maximum Package Weight","Suurin pakkauspaino"
"Method name","Method name"
"Minimum order amount for free shipping","Hintaraja ilmaiselle toimitukselle"
"Minimum Order Total","Tilauksen vähimmäissumma"
"Minimum Order Weight","Pienin tilauksen paino"
"Minimum Package Weight","Pienin pakkauspaino"
"Module Settings","Moduulin asetukset"
"New order status","Uusien tilauksien tila"
"No","Ei"
"Notice!","Huomio!"
"Origin","Lähettäjän tiedot"
"Password","Salasana"
"PDF file (%s) could not be deleted!","PDF-tiedostoa (%s) ei voitu poistaa!"
"Per item","Kappaletta kohden"
"Per Item","Kappaletta kohden"
"Per order","Tilausta kohden"
"Per Order","Tilausta kohden"
"Per Package","Pakkausta kohden"
"Percent","Prosentti"
"Price","Hinta"
"Print shippinglabel","Tulosta osoitekortti"
"Print Shippinglabel","Tulosta osoitekortti"
"Replace original price","Korvataan alkup. hinta"
"Requested folder (%s) was not found.","Pyydettyä kansiota (%s) ei löytynyt."
"Requested PDF file (%s) was not found.","Osoitekortin PDF-tiedostoa (%s) ei löytynyt."
"Sender Name","Lähettäjän nimi"
"Shipment was saved successfully","Lähetys tallennettiin onnistuneesti"
"Shipping label deleted successfully!","Osoitekortti poistettu!"
"Shipping label","Osoitekortti"
"Shipping Label","Osoitekortti"
"Shipping Labels","Osoitekortit"
"Shipping labels","Osoitekortit"
"Shippinglabel successfully deleted","Osoitekortti poistettiin onnistuneesti"
"Show method if not applicable","Näytetäänkö toimitustapa vaikka ei käytettävissä"
"Show Packages","Näytä Paketit"
"Sort order","Listauksen järjestys"
"Tax/VAT number","Y-tunnus"
"Telephone","Puhelin"
"Test Mode","Testitila"
"The PDF-file could not be deleted.","PDF-tiedoston poisto epäonnistui!"
"The shipping label could not be deleted!","Osoitekortin poisto epäonnistui!"
"There are no shipping labels related to following %s: %s","Osoitekorttia ei löydetty: %s, %s"
"Title","Toimitustavan nimi"
"Type","Tyyppi"
"Username","Käyttäjätunnus"
"Volume","Tilavuus"
"Weight","Paino"
"Yes","Kyllä"
"ZIP/Postal Code","Postinumero"
"Minimum Order Subtotal","Pienin mahdollinen välisumma"
"Maximum Order Subtotal","Suurin mahdollinen välisumma"
"Matkahuolto Cash On Delivery","Matkahuolto Bussiennakko"
"Allowed shipping methods","Bussiennakko sallittu toimitustavoille"