"%s was successfully added to your shopping cart.","%s on lisätty Ostoskoriisi."
"&laquo; Back to Billing Information","&laquo; Takaisin Laskutustietoihin"
"&laquo; Back to Select Addresses","&laquo; Takaisin Osoitetietoihin"
"&laquo; Back to Shopping Cart","&laquo; Takaisin Ostoskoriin"
"* Required Fields","* Vaaditut kentät"
"Add New Address","Lisää uusi osoite"
"Add New Condition","Lisää uusi toimitusehto"
"Add to Cart","Lisää ostoskoriin"
"Add to Compare","Lisää vertailuun"
"Add to Wishlist","Lisää toivelistaan"
"Address","Osoite"
"Address %s of %s","Osoite %s / %s"
"After adding a product redirect to shopping cart","Tuotteen lisäyksen jälkeen jatka suoraan Ostoskoriin"
"Allow Guest Checkout","Salli rekisteröimättämät tilaukset"
"Already registered?","Oletko jo rekisteröitynyt?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","Syötä Kuponki"
"Are you sure you would like to remove this item from the shopping cart?","Haluatko varmasti poistaa tuotteen Ostoskorista?"
"Back","Takaisin"
"Back to Shipping Information","Takaisin Lähetystietoihin"
"Based on your selection, you may be interested in the following items:","Voit olla kiinnostunut myös näistä kohteista:"
"Billing Address","Laskutusosoite"
"Billing Information","Tilaajan tiedot"
"Billing Information - %s","Laskutustiedot - %s"
"Can not add item to shopping cart","Kohdetta ei voida lisätä Ostoskoriin"
"Can not apply coupon code.","Kuponkikoodia ei voida lisätä."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Peruuta kuponki"
"Cannot remove item","Kohdetta ei voida poistaa"
"Cannot update shopping cart","Ostoskoria ei voida päivittää"
"Card Verification Number Visual Reference","Luottokortin tarkistustunnus"
"Cart Subtotal:","Ostoskorin välisumma:"
"Change","Change"
"Change Billing Address","Vaihda Laskutusosoite"
"Checkbox text","Valintaruudun teksti"
"Checkout","Kassa"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","Maksuvaihtoehdot"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Osta vieraana"
"Checkout as a Guest or Register","Rekisteröidy tai osta vieraana"
"Checkout method","Ostotapa"
"Checkout with Multiple Addresses","Siirry kassalle käyttäen useita osoitteita"
"City","Kaupunki/Kunta"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">Tulosta tilausvahvistus</a>."
"Close","Sulje"
"Company","Yritys"
"Condition Name","Toimitusehdon nimi"
"Condition was successfully deleted","Toimitusehto poistettu"
"Condition was successfully saved","Toimitusehto tallennettu"
"Configurable product image","Muokattava tuotekuva"
"Confirm Password","Vahvista salasana"
"Content","Content"
"Content Height","Sisältöalueen korkeus"
"Content Height (css)","Sisältöalueen korkeus (css)"
"Continue","Jatka"
"Continue Shopping","Jatka ostoksia"
"Continue to Billing Information","Jatka laskutustietoihin"
"Continue to Review Your Order","Katsele tilaustasi"
"Continue to Shipping Information","Jatka lähetystietoihin"
"Country","Maa"
"Coupon code ""%s"" is not valid.","Kupongin koodi ""%s"" ei kelpaa."
"Coupon code ""%s"" was applied successfully.","Alennuskoodi ""%s"" on lisätty."
"Coupon code was canceled successfully.","Kuponkikoodi on peruttu."
"Create Billing Address","Luo laskutusosoite"
"Create Shipping Address","Luo toimitusosoite"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Tietojen tallennuksessa ongelmia"
"Default Billing","Ensisijainen laskutus"
"Default Shipping","Ensisijainen lähetys"
"Delete Condition","Poista toimitusehto"
"Details","Details"
"Disable Onepage Checkout","Poista yhden sivun kassa käytöstä"
"Disabled","Disabled"
"Discount Codes","Alennuskoodit"
"Display Cart Summary","Näytä Ostoskorin summa"
"Display Shopping Cart Sidebar","Näytä ostoskori sivupalkissa"
"Display item quantities","Näytä kohteiden määrät"
"Display number of items in cart","Näytä kohteiden määrä Ostoskorissa"
"Easy access to your order history and status","Tilausten seuranta ja tilaushistoria"
"Edit","Muokkaa"
"Edit Address","Muokkaa Osoitetta"
"Edit Billing Address","Muokkaa Laskutusosoitetta"
"Edit Items","Muokkaa kohteita"
"Edit Shipping Address","Muokkaa Toimitusosoitetta"
"Edit Terms and Conditions","Muokkaa toimitusehtoa"
"Edit Your Cart","Muokkaa Ostoskoriasi"
"Email Address","Sähköpostiosoite"
"Enable Terms and Conditions","Ota toimitusehdot käyttöön"
"Enabled","Enabled"
"Enter a New Address","Syötä uusi osoite"
"Enter your coupon code if you have one.","Syötä Alennuskuponkisi koodi jos sinulla on sellainen."
"Enter your destination to get a shipping estimate.","Syötä toimituspaikkasi saadaksesi arvion toimituskuluista."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Laske lähetyskulut ja vero"
"Excl. Tax","Veroton"
"Fast and easy check out","Nopea ja helppo tilaus"
"Fax","Faksi"
"Forgot an Item?","Unohditko jonkin kohteen?"
"Forgot your password?","Unohtuiko salasana?"
"Get a Quote","Laske"
"Grand Total:","Kokonaissumma:"
"Grouped product image","Ryhmitelty tuotekuva"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Verollinen"
"Invalid data","Virheellinen tieto"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Virheellinen toimitustapa."
"Items","Tuotteet"
"Load customer quote error","Asiakkaan antaman lainauksen latausvirhe"
"Loading next step...","Ladataan seuraavaa vaihetta..."
"Login","Kirjaudu"
"Manage Checkout Terms and Conditions","Hallinnoi toimitusehtoja"
"Maximum display Recently added item(s)","Näytä viimeksi lisättyjä tuotteita enintään"
"Maximum qty allowed for Shipping to multiple addresses is %s","Toimitusosoitteiden maksimimäärä on %s"
"Move to Wishlist","Siirrä Toivelistalle"
"My Account","Asiakastilini"
"My Cart","Ostoskori"
"My Cart (%s item)","Ostoskorini (%s tuote)"
"My Cart (%s items)","Ostoskorini (%s tuotetta)"
"My Cart Link","Ostokorini linkki"
"New Address","Uusi osoite"
"New Condition","Uusi toimitusehto"
"Order #","Order #"
"Order Review","Tarkastele tilausta"
"Order Success","Tilaus onnistunut"
"Other items in your order","Other items in your order"
"Password","Salasana"
"Payment Failed Email Reciever","Maksutapahtumien virhesähköpostien vastaanottaja"
"Payment Failed Email Sender","Maksutapahtumien virhesähköpostien lähettäjä"
"Payment Failed Emails","Maksutapahtumien virhesähköpostit"
"Payment Failed Template","Maksutapahtumien virhesähköpostien pohja"
"Payment Information","Maksun tiedot"
"Payment Method","Maksutapa"
"Payment method is not defined","Maksutapaa ei ole määritelty"
"Place Order","Tee tilaus"
"Please <a href=""%s"">continue shopping</a>.","Ole hyvä ja <a href=""%s"">jatka ostoksia</a>."
"Please agree to all Terms and Conditions before placing the order.","Hyväksy toimitusehdot ennen tilauksen vahvistamista."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Syötä postinumero oikeassa muodossa, 00000-99999."
"Please log in below:","Kirjaudu sisään alla olevalla lomakkeella:"
"Please select region, state or province","Valitse maakunta, osavaltio tai provinssi"
"Please select shipping address for applicable items","Valitse toimistusosoitteet tuotteille"
"Please select shipping methods for all addresses","valitse toimitustapa kikkiin osoitteisiin"
"Price","Hinta"
"Proceed to Checkout","Mene kassalle"
"Product","Tuote"
"Product Name","Tuotenimi"
"Product does not exist","Tuotetta ei ole"
"Qty","Lukumäärä"
"Quote Lifetime (days)","Lainauksen voimassaoloaika (päiviä)"
"Recently added item(s)","Uusimmat tuotteet"
"Register","Rekisteröidy"
"Register and save time!","Rekisteröidy ja säästä aikaa!"
"Register to Create an Account","Rekisteröidy luodaksesi Oman tilin"
"Register with us for future convenience:","Rekisteröidy verkkokauppamme ja helpota tulevaa asiointia:"
"Remove","Poista"
"Remove Item","Poista tuote"
"Remove Product","Poista tuote"
"Remove item","Poista tuote"
"Review Order","Tarkasta tilaus"
"Review Order - %s","Tarkasta tilaus - %s"
"Sales","Sales"
"Save Condition","Tallenna toimitusehto"
"Save in address book","Tallenna osoitekirjaan"
"Select Address","Valitse osoite"
"Select Addresses","Valitse osoitteet"
"Select Shipping Method","Valitse toimitustapa"
"Select State/Province...","Valitse osavatio/provinssi..."
"Select a billing address from your address book or enter a new address.","Valitse osoite osoitekirjastasi tai syötä uusi osoite."
"Select a shipping address from your address book or enter a new address.","Valitse toimitusosoite osoitekirjastasi tai syötä uusi osoite."
"Send Payment Failed Email Copy Method","Maksutapahtumien virhesähköpostien kopioiden lähetysmetodi"
"Send Payment Failed Email Copy To","Lähetä maksutapahtumien virhesähköpostien kopio osoitteisiin"
"Send to","Saaja"
"Ship to Multiple Addresses","Lähetä useisiin osoitteisiin"
"Ship to different address","Lähetä eri osoitteeseen"
"Ship to this address","Lähetä samaan osoitteeseen"
"Shipping Address","Toimitusosoite"
"Shipping Information","Vastaanottajan tiedot"
"Shipping Method","Toimitustapa"
"Shipping Methods","Toimitustavat"
"Shipping method has not been selected yet","Toimitustapaa ei ole vielä valittu"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Lähetetään kohteeseen"
"Shopping Cart","Ostoskori"
"Shopping Cart Sidebar","Ostoskori-sivupalkki"
"Shopping Cart is Empty","Ostoskori on tyhjä"
"Show Content as","Sisällön tyyppi"
"Some of the products you requested are not available in the desired quantity","Joitain valitsemiasi tuotteita ei ole varastossa tarvittavaa määrää"
"Some of the products you requested are unavailable","Joitain valitsemiasi tuotteita ei ole saatavilla"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Ei annettuja lainauksia tälle tuotteelle tällä hetkellä."
"State/Province","Osavaltio/Provinssi"
"Status","Status"
"Store View","Store View"
"Street Address","Katuosoite"
"Street Address ","Street Address "
"Submitting order information...","Lähetetään tilauksen tietoja..."
"Subtotal","Yhteensä"
"Telephone","Puhelin"
"Terms and Conditions","Toimitusehdot"
"Terms and Conditions Information","Toimitusehdon tiedot"
"Terms and conditions","Toimitusehdot"
"Text","Text"
"Thank you for your purchase!","Kiitos tilauksestasi!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Ostoskorissasi on <a href=""%s""><strong>%s tuotetta</strong></a>."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Ostokorissasi on <a href=""%s""><strong>1 tuote</strong></a>."
"There is already a customer registered using this email address","Tämä sähköpostiosoite on jo käytössä"
"There was an error processing your order. Please contact us or try again later.","Tilauksen lähetyksessä tapahtui virhe. Ole hyvä ja ota yhteyttä meihin tai yritä myöhemmin uudelleen."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","Yhteensä tähän osoitteeseen"
"Unit Price","Yksikköhinta"
"Update Qty &amp; Addresses","Päivitä määrä &amp; osoitteet"
"Update Shopping Cart","Päivitä Ostoskori"
"Update Total","Päivitä summa"
"Use Billing Address","Käytä laskutusosoitetta"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Tilauksesi on käsittelyssä. Saat kohta sähköpostiisi tarkemmat tiedot tilauksestasi. Kun tilauksesi on toimituksessa, saat toisen sähköpostin seurantaa varten."
"You have no items in your shopping cart.","Ostoskorisi on tyhjä."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Saat sähköpostissa tilausvahvistuksen ja linkin josta voit seurata tilauksesi etenemistä."
"Your Checkout Progress","Tilauksen eteneminen"
"Your order # is: %s","Tilausnumerosi on: %s"
"Your order # is: <a href=""%s"">%s</a>","Tilausnumerosi on: <a href=""%s"">%s</a>"
"Your order has been received","Tilauksesi on vastaanotettu"
"Your order number is ","Your order number is "
"Zip/Postal Code","Postinumero"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","Ostoskori"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
