"Enabled", "Käytössä"
"Title", "Nimi"
"Sub-merchant ID", "Alikauppiaan tunnus"
"Merchants private key", "Salausavain"
"Order number prefix", "Tilausnumeron etuliite"
"Prefix for order number to ensure uniqueness when used in Maksukaista service", "Etuliite tilausnumerolle, joka varmistaa että sama tilausnumero ei toistu"
"Payment URL", "Maksuosoite"
"For real payments use https://www.paybyway.com/e-payments/pay and for test interface use https://www.paybyway.com/e-payments/test_pay", "Oikeita maksuja varten käytä https://www.paybyway.com/e-payments/pay , käyttääksesi testikäyttöliittymää käytä https://www.paybyway.com/e-payments/test_pay"
"Settlement URL", "Veloitusosoite"
"Used for settlement/capture request when not using auto settlement with credit cards. For test interface and how to use it check our documentation.", "Käytetään erilliseen veloitukseen, kun asiakas valitsee luottokortin tai luottomaksun maksutavaksi, ja kauppiaspaneelissa automaattiveloitus on pois päältä. Veloitus tehdään, kun tilaukselle luodaan lasku tilausnäkymässä."
"Sort Order", "Esittämisjärjestys"
"Payment forwarded to Maksukaista gateway with order number ","Maksu ohjattu Maksukaistan portaaliin tilausnumerolla " 
"User sessions last order number does not match received order number", "Käyttän session viimeisin tilaumero ei vastannut paluuviestin tilausnumeroa"
"Response MAC code not matching.","Paluuviestin tarkistussumma ei vastaa laskettua tarkistussummaa"
"No order id found.",  "tilausnumerota ei löytynyt"
"Payment authorized and settled. Maksukaista order number - ","Maksu hyväksytty ja veloitettu. Maksukaista tilausnumero - "
"Payment authorized. Settlement will be done when invoice is created. Maksukaista order number - ","Maksu hyväksytty. Veloitus tapahtuu laskun teon yhteydessä. Maksukaista tilausnumero - "
"Invalid value of 'settled", "Odottamaton 'Settled' kentän arvo"
"Maksukaista - error in payment. Refresh payment status manually in merchant panel - order number %s incident id - %s", "Maksukaista - virhe maksaessa. Päivitä maksun tila manuaalisesti kauppiaspaneelista - tilausnumero %s virhetunnus - %s"
"Maksukaista - payment cancelled - order number - %s incident id - %s", "Maksukaista - maksu peruutettu - tilausnumero - %s virhetunnus - %s"
"Maksukaista - rejected, duplicate order number - order number - %s incident id - %s", "Maksukaista - hylätty, syynä duplikaatti tilausnumero - tilausnumero - %s virhetunnus - %s"
"Maksukaista - rejected, merchant account or sub-merchant disabled - order number - %s incident id - %s", "Maksukaista - hylätty, käyttäjätili tai alikauppias suljettu/poissa käytöstä - tilausnumero - %s virhetunnus - %s"
"Maksukaista - payment with order number %s not done, reason being a maintenance break in our service", "Maksukaista - Maksun tilausnumerolla %s käsittely keskeytetty, syynä huoltotauko palvelussamme" 
"Maksukaista - unknown return code - ", "Maksukaista - tuntematon paluuarvo - "
"Authcode and submerchant id did not match with given order number.","Salausavain tai kauppiastunnus ei vastannut annettua tilausnumeroa"
"Payment cannot be settled. Either the payment has already been settled or the payment gateway refused to settle the payment.","Maksua ei voitu veloittaa. Maksu on joko jo veloitettu, tai rahoituslaitos hylkäsi veloituspyynnön."
"Invalid request. The settlement request did not contain all the needed fields.","Pyyntö hylätty, Veloituspyyntö ei sisältänyt kaikkia vaadittuja kenttiä"
"Unknown return value on settlement", "Tuntematon paluuarvo veloituksessa"
"Error in executing Maksukaista API settlement request.", "Virhe suorittaessa Maksukaista API kyselyä"
"Could not create invoice.", "Laskun teko epäonnistui"
"No order id found.", "Tilausnumeroa ei löytynyt."
"Embedded", "Upotus"
"Embedded selection for the payment methods", "Upotettu maksutapojen valinta"
"Banks", "Pankit"
"Creditcards", "Korttimaksut"
"Creditcard Invoices", "Luottolaskut"
"Banks as payment methods", "Pankit maksutapana"
"Creditcards (Visa and MasterCard) as payment methods", "Korttimaksut (Visa ja MasterCard) maksutapana"
"Maksukaista Lasku (Arvato) as payment method, use only if you are Maksukaista Conversion subscriber", "Maksukaista Lasku (Arvato) maksutapana, valitse vain mikäli olet Maksukaista Konversio -asiakas"
"Invoices as payment methods", "Laskut ja osamaksut maksutapana"
"You have to select at least one payment method!", "Sinun on valittava vähintään yksi maksutapa!"
"Send product breakdown to Maksukaista", "Lähetä tuote-erittely Maksukaista-portaaliin"
"If you use custom extensions to modify prices (any other discounts than Magento's default coupon codes), disable this to avoid errors.", "Jos käytät erillisiä alennuslisäosia hintojen muokkaukseen (muita kuin Magenton omia alennuskuponkeja), ota tämä pois käytöstä virheiden välttämiseksi."